date,region,cases,new_cases,
16/03/2020,NI,391,38,"Shut national borders with FR, CH, AT, DK, LU"
17/03/2020,NI,444,66,"State of emergency - closed sports and leisure facilities, restricted restaurants, close dnon-essential shops, "
18/03/2020,NI,597,87,
19/03/2020,NI,788,191,
20/03/2020,NI,922,134,
21/03/2020,NI,1142,220,
22/03/2020,NI,1425,283,
23/03/2020,NI,1602,177,Banned gatheirng sof more than 2 people. Closed all restaurants
24/03/2020,NI,1883,281,
25/03/2020,NI,2140,376,
26/03/2020,NI,2347,207,
27/03/2020,NI,2810,463,
28/03/2020,NI,3150,340,
29/03/2020,NI,3450,300,
30/03/2020,NI,3732,282,
31/03/2020,NI,4063,331,
01/04/2020,NI,4382,319,
02/04/2020,NI,4695,313,
03/04/2020,NI,5081,386,
04/04/2020,NI,5571,490,
06/03/2020,NW,226,,
07/03/2020,NW,270,65,
08/03/2020,NW,295,46,
09/03/2020,NW,381,92,
10/03/2020,NW,484,164,Banned gatherings of 1000+ people
11/03/2020,NW,484,40,
12/03/2020,NW,688,113,
13/03/2020,NW,936,135,
14/03/2020,NW,1154,218,
15/03/2020,NW,1407,253,
16/03/2020,NW,1541,134,"Shut national borders with FR, CH, AT, DK, LU"
17/03/2020,NW,2105,564,"State of emergency - closed sports and leisure facilities, restricted restaurants, close dnon-essential shops, "
18/03/2020,NW,2372,267,
19/03/2020,NW,3033,661,
20/03/2020,NW,3497,464,
21/03/2020,NW,3542,45,
22/03/2020,NW,3545,3,
23/03/2020,NW,5615,2070,Banned gatheirng sof more than 2 people. Closed all restaurants
24/03/2020,NW,6318,703,
25/03/2020,NW,7197,879,
26/03/2020,NW,7924,727,
27/03/2020,NW,9235,1311,
28/03/2020,NW,10607,1372,
04/03/2020,RP,5,0,
05/03/2020,RP,6,5,
06/03/2020,RP,8,1,
07/03/2020,RP,11,2,
08/03/2020,RP,17,5,
09/03/2020,RP,17,4,
10/03/2020,RP,25,6,Banned gatherings of 1000+ people
11/03/2020,RP,25,0,
12/03/2020,RP,52,27,
13/03/2020,RP,102,50,
14/03/2020,RP,121,19,
15/03/2020,RP,168,47,
16/03/2020,RP,325,157,"Shut national borders with FR, CH, AT, DK, LU"
17/03/2020,RP,442,117,"State of emergency - closed sports and leisure facilities, restricted restaurants, close dnon-essential shops, "
18/03/2020,RP,474,32,
19/03/2020,RP,637,163,
20/03/2020,RP,801,164,
21/03/2020,RP,938,137,
22/03/2020,RP,1053,115,
23/03/2020,RP,1177,124,Banned gatheirng sof more than 2 people. Closed all restaurants
24/03/2020,RP,1370,193,
25/03/2020,RP,1591,221,
26/03/2020,RP,1816,225,
27/03/2020,RP,1971,155,
28/03/2020,RP,2212,241,
